nijintianchifanlema	你今天吃饭了吗
wozailouxiadengnine	我在楼下等你呢
tiantailenglejidechuanwaitao	天太冷了记得穿外套
zhoumoyaobuyaoyiqipashan	周末要不要一起爬山
mamazuodefanzhenhaochi	妈妈做的饭真好吃
nizenmehaimeidaojia	你怎么还没到家
kuaidianqichuangyaochidaole	快点起床要迟到了
wojiamaoyoubahuapendafanle	我家猫又把花盆打翻了
nikandenabudianshijujiaoshenme	你看的那部电视剧叫什么
babachuchaihaimeihuilai	爸爸出差还没回来
jiejiejiehunderizidingle	姐姐结婚的日子定了
wozuijinmangdemeishijianxiuxi	我最近忙得没时间休息
nibazuoyexiewanlema	你把作业写完了吗
waimianxiayuledaibasanba	外面下雨了带把伞吧
womenhaojiumeijule	我们好久没聚了
didiyouchuanghuole	弟弟又闯祸了
nicaijintianfashengshenmeshile	你猜今天发生什么事了
nainaishentizuijinhaoduole	奶奶身体最近好多了
bieaoyeleduishentibuhao	别熬夜了对身体不好
wogangxiabanhaimeichiwanfan	我刚下班还没吃晚饭
nijintianxinqingzenmeyang	你今天心情怎么样
zhoumoqunijiazuokekeyima	周末去你家做客可以吗
laogongyouwangledaiyaoshi	老公又忘了带钥匙
haizifangxueleyaoqujieta	孩子放学了要去接他
nishuodenajiacantingzaina	你说的那家餐厅在哪
womenwanshangyiqikandianyingba	我们晚上一起看电影吧
biaogemailexinche	表哥买了新车
nimeimeikaoshikaodezenmeyang	你妹妹考试考得怎么样
kuaibangwobamenguanshang	快帮我把门关上
zhejitianyizhizaijiaban	这几天一直在加班
niyoumeiyouxiangwo	你有没有想我
jialidekongtiaohuaile	家里的空调坏了
laobatuixiuyihouxianbuzhu	老爸退休以后闲不住
womenqugongyuansansanbuba	我们去公园散散步吧
nipengyoushibushibanzoule	你朋友是不是搬走了
wobayaoshidiule	我把钥匙丢了
jintiantianqizhenhaochuquzouzouba	今天天气真好出去走走吧
nizaimangshenmene	你在忙什么呢
womarangwozaodianhuijia	我妈让我早点回家
biewanglegeiyeyedadianhua	别忘了给爷爷打电话
womenchaojialehaojitianmeishuohua	我们吵架了好几天没说话
nidaodixibuxihuanwo	你到底喜不喜欢我
kuailaibangwobandongxi	快来帮我搬东西
wopengyougangshenglegehaizi	我朋友刚生了个孩子
nitingshuolinjubanjialema	你听说邻居搬家了吗
wojintiantebiexiangchihuoguo	我今天特别想吃火锅
haizidezuoyeyuelaiyueduole	孩子的作业越来越多了
nibielaoshiwanshouji	你别老是玩手机
womenyiqiqumaicaiba	我们一起去买菜吧
laoposhengqilebuliwo	老婆生气了不理我
niweishenmebujiedianhua	你为什么不接电话
kuaibachuanghudakaitoutouqi	快把窗户打开透透气
wobiaodikaoshangdaxuele	我表弟考上大学了
nijintianzenmemenmenbulede	你今天怎么闷闷不乐的
wozaichufangzhuzhemianne	我在厨房煮着面呢
kuaiquxishouzhunbeichifanle	快去洗手准备吃饭了
nibashoujichongshangdian	你把手机充上电
